Time, value
0.00012207,6.00000000
0.00024414,5.79777053
0.00036621,5.23350443
0.00048828,4.42318087
0.00061035,3.52561522
0.00073242,2.70085132
0.00085449,2.06921578
0.00097656,1.68234519
0.00109863,1.51408761
0.00122070,1.47355927
0.00134277,1.43639049
0.00146484,1.28507879
0.00158691,0.94682238
0.00170898,0.41794788
0.00183105,-0.23213660
0.00195312,-0.87871595
0.00207520,-1.37634661
0.00219727,-1.60052130
0.00231934,-1.48464084
0.00244141,-1.04177132
0.00256348,-0.36488841
0.00268555,0.39468347
0.00280762,1.06482993
0.00292969,1.49591666
0.00305176,1.59788407
0.00317383,1.36101011
0.00329590,0.85475704
0.00341797,0.20524888
0.00354004,-0.44210936
0.00366211,-0.96423596
0.00378418,-1.29444115
0.00390625,-1.43938819
0.00402832,-1.47425503
0.00415039,-1.51760067
0.00427246,-1.69320616
0.00439453,-2.08986902
0.00451660,-2.73073774
0.00463867,-3.56110532
0.00476074,-4.45838835
0.00488281,-5.26176212
0.00500488,-5.81336262
0.00512695,-5.99967058
0.00524902,-5.78158902
0.00537109,-5.20484715
0.00549316,-4.38783365
0.00561523,-3.49024711
0.00573730,-2.67128342
0.00585938,-2.04896493
0.00598145,-1.67184295
0.00610352,-1.51078354
0.00622559,-1.47286793
0.00634766,-1.43320395
0.00646973,-1.27540774
0.00659180,-0.92909368
0.00671387,-0.39358480
0.00683594,0.25902161
0.00695801,0.90243366
0.00708008,1.39123760
0.00720215,1.60260344
0.00732422,1.47283080
0.00744629,1.01833021
0.00756836,0.33495817
0.00769043,-0.42433234
0.00781250,-1.08749782
0.00793457,-1.50665478
0.00805664,-1.59469376
0.00817871,-1.34523478
0.00830078,-0.83056629
0.00842285,-0.17836772
0.00854492,0.46606264
0.00866699,0.98133229
0.00878906,1.30349759
0.00891113,1.44220375
0.00903320,1.47496361
0.00915527,1.52133019
0.00927734,1.70442991
0.00939941,2.11092376
0.00952148,2.76093676
0.00964355,3.59670779
0.00976562,4.49344518
0.00988770,5.28961086
0.01000977,5.82835997
0.01013184,5.99868242
0.01025391,5.76482364
0.01037598,5.17579973
0.01049805,4.35235760
0.01062012,3.45501051
0.01074219,2.64203977
0.01086426,2.02911715
0.01098633,1.66169523
0.01110840,1.50768092
0.01123047,1.47217261
0.01135254,1.42982202
0.01147461,1.26542540
0.01159668,0.91105218
0.01171875,0.36902683
0.01184082,-0.28589457
0.01196289,-0.92590090
0.01208496,-1.40567652
0.01220703,-1.60412869
0.01232910,-1.46049022
0.01245117,-0.99451502
0.01257324,-0.30490382
0.01269531,0.45382407
0.01281738,1.10976689
0.01293945,1.51685196
0.01306152,1.59095258
0.01318359,1.32902748
0.01330566,0.80615307
0.01342773,0.15150231
0.01354980,-0.48980129
0.01367188,-0.99810945
0.01379395,-1.31225109
0.01391602,-1.44484397
0.01403809,-1.47569347
0.01416016,-1.52528352
0.01428223,-1.71602030
0.01440430,-2.13237892
0.01452637,-2.79144228
0.01464844,-3.63241290
0.01477051,-4.52834047
0.01489258,-5.31704141
0.01501465,-5.84275745
0.01513672,-5.99703586
0.01525879,-5.74748008
0.01538086,-5.14637177
0.01550293,-4.31676364
0.01562500,-3.41991482
0.01574707,-2.61312593
0.01586914,-2.00967290
0.01599121,-1.65189766
0.01611328,-1.50477211
0.01623535,-1.47146492
0.01635742,-1.42623827
0.01647949,-1.25512935
0.01660156,-0.89270040
0.01672363,-0.34428087
0.01684570,0.31274611
0.01696777,0.94910843
0.01708984,1.41965699
0.01721191,1.60509547
0.01733398,1.44762299
0.01745605,0.97033430
0.01757812,0.27473649
0.01770020,-0.48314778
0.01782227,-1.13162923
0.01794434,-1.52650515
0.01806641,-1.58666297
0.01818848,-1.31239519
0.01831055,-0.78152682
0.01843262,-0.12466180
0.01855469,0.51331903
0.01867676,1.01456572
0.01879883,1.32070480
0.01892090,1.44731575
0.01904297,1.47645303
0.01916504,1.52946792
0.01928711,1.72798100
0.01940918,2.15423319
0.01953125,2.82224801
0.01965332,3.66821084
0.01977539,4.56306333
0.01989746,5.34404467
0.02001953,5.85655014
0.02014160,5.99473149
0.02026367,5.72956428
0.02038574,5.11657294
0.02050781,4.28106265
0.02062988,3.38496933
0.02075195,2.58454725
0.02087402,1.99063244
0.02099609,1.64244567
0.02111816,1.50204940
0.02124023,1.47073652
0.02136230,1.42244637
0.02148438,1.24451738
0.02160645,0.87404104
0.02172852,0.31935394
0.02185059,-0.33956681
0.02197266,-0.97204712
0.02209473,-1.43317281
0.02221680,-1.60550242
0.02233887,-1.43423321
0.02246094,-0.94579675
0.02258301,-0.24446733
0.02270508,0.51229264
0.02282715,1.15307709
0.02294922,1.53561155
0.02307129,1.58182757
0.02319336,1.29534506
0.02331543,0.75669703
0.02343750,0.09785528
0.02355957,-0.53660975
0.02368164,-1.03069956
0.02380371,-1.32886205
0.02392578,-1.44962613
0.02404785,-1.47725075
0.02416992,-1.53389056
0.02429199,-1.74031553
0.02441406,-2.17648505
0.02453613,-2.85334749
0.02465820,-3.70409168
0.02478027,-4.59760289
0.02490234,-5.37061164
0.02502441,-5.86973330
0.02514648,-5.99177008
0.02526855,-5.71108232
0.02539062,-5.08641304
0.02551270,-4.24526554
0.02563477,-3.35018322
0.02575684,-2.55630889
0.02587891,-1.97199583
0.02600098,-1.63333456
0.02612305,-1.49950501
0.02624512,-1.46997909
0.02636719,-1.41844015
0.02648926,-1.23358746
0.02661133,-0.85507700
0.02673340,-0.29425319
0.02685547,0.36634719
0.02697754,0.99470785
0.02709961,1.44621790
0.02722168,1.60534839
0.02734375,1.42032522
0.02746582,0.92091122
0.02758789,0.21410756
0.02770996,-0.54124792
0.02783203,-1.17410286
0.02795410,-1.54416856
0.02807617,-1.57644923
0.02819824,-1.27788437
0.02832031,-0.73167320
0.02844238,-0.07109173
0.02856445,0.55966748
0.02868652,1.04650964
0.02880859,1.33672635
0.02893066,1.45178222
0.02905273,1.47809507
0.02917480,1.53855851
0.02929688,1.75302719
0.02941895,2.19913278
0.02954102,2.88473409
0.02966309,3.74004541
0.02978516,4.63194829
0.02990723,5.39673347
0.03002930,5.88230241
0.03015137,5.98815266
0.03027344,5.69204051
0.03039551,5.05590195
0.03051758,4.20938317
0.03063965,3.31556552
0.03076172,2.52841584
0.03088379,1.95376291
0.03100586,1.62455944
