Time, value
0.00012207,3.00000000
0.00024414,2.83000614
0.00036621,2.36102305
0.00048828,1.70483185
0.00061035,1.01349209
0.00073242,0.43808211
0.00085449,0.08821461
0.00097656,0.00361448
0.00109863,0.14563074
0.00122070,0.41093198
0.00134277,0.66338539
0.00146484,0.77500435
0.00158691,0.66430638
0.00170898,0.32116800
0.00183105,-0.18891476
0.00195312,-0.74242926
0.00207520,-1.19239771
0.00219727,-1.41016062
0.00231934,-1.32260670
0.00244141,-0.93431357
0.00256348,-0.32828064
0.00268555,0.35506411
0.00280762,0.95480648
0.00292969,1.33218339
0.00305176,1.40706251
0.00317383,1.17813992
0.00329590,0.72130222
0.00341797,0.16672494
0.00354004,-0.33876080
0.00366211,-0.67338563
0.00378418,-0.77447763
0.00390625,-0.65524615
0.00402832,-0.39963086
0.00415039,-0.13673674
0.00427246,-0.00214709
0.00439453,-0.09712145
0.00451660,-0.45729602
0.00463867,-1.03983904
0.00476074,-1.73282112
0.00488281,-2.38430285
0.00500488,-2.84307958
0.00512695,-2.99972234
0.00524902,-2.81644454
0.00537109,-2.33743815
0.00549316,-1.67678648
0.00561523,-0.98733638
0.00573730,-0.41923874
0.00585938,-0.07974306
0.00598145,-0.00545340
0.00610352,-0.15472654
0.00622559,-0.42221142
0.00634766,-0.67129286
0.00646973,-0.77516549
0.00659180,-0.65484475
0.00671387,-0.30330006
0.00683594,0.21117733
0.00695801,0.76338811
0.00708008,1.20627629
0.00720215,1.41275948
0.00732422,1.31253798
0.00744629,0.91346433
0.00756836,0.30137065
0.00769043,-0.38171074
0.00781250,-0.97493549
0.00793457,-1.34126519
0.00805664,-1.40346764
0.00817871,-1.16350997
0.00830078,-0.70001650
0.00842285,-0.14461715
0.00854492,0.35607203
0.00866699,0.68208072
0.00878906,0.77358860
0.00891113,0.64688243
0.00903320,0.38831718
0.00915527,0.12805276
0.00927734,0.00105608
0.00939941,0.10646346
0.00952148,0.47687529
0.00964355,1.06636824
0.00976562,1.76074390
0.00988770,2.40726855
0.01000977,2.85565970
0.01013184,2.99888948
0.01025391,2.80240011
0.01037598,2.31355728
0.01049805,1.64869542
0.01062012,0.96138076
0.01074219,0.40077091
0.01086426,0.07170666
0.01098633,0.00765884
0.01110840,0.16401579
0.01123047,0.43346004
0.01135254,0.67896137
0.01147461,0.77495795
0.01159668,0.64500274
0.01171875,0.28516354
0.01184082,-0.23350331
0.01196289,-0.78416928
0.01208496,-1.21976878
0.01220703,-1.41485682
0.01232910,-1.30198031
0.01245117,-0.89226650
0.01257324,-0.27434447
0.01269531,0.40821032
0.01281738,0.99469321
0.01293945,1.34984944
0.01306152,1.39937872
0.01318359,1.14851504
0.01330566,0.67858167
0.01342773,0.12260059
0.01354980,-0.37309543
0.01367188,-0.69039006
0.01379395,-0.77234072
0.01391602,-0.63830167
0.01403809,-0.37700012
0.01416016,-0.11958698
0.01428223,-0.00034612
0.01440430,-0.11624034
0.01452637,-0.49681453
0.01464844,-1.09307058
0.01477051,-1.78858979
0.01489258,-2.42991126
0.01501465,-2.86774156
0.01513672,-2.99750175
0.01525879,-2.78787839
0.01538086,-2.28938963
0.01550293,-1.62056906
0.01562500,-0.93563402
0.01574707,-0.38268343
0.01586914,-0.06410509
0.01599121,-0.01022560
0.01611328,-0.17349010
0.01623535,-0.44466877
0.01635742,-0.68638387
0.01647949,-0.77437884
0.01660156,-0.63478252
0.01672363,-0.26676517
0.01684570,0.25588330
0.01696777,0.80476338
0.01708984,1.23286844
0.01721191,1.41645054
0.01733398,1.29093699
0.01745605,0.87072793
0.01757812,0.24721252
0.01770020,-0.43455265
0.01782227,-1.01407237
0.01794434,-1.35793368
0.01806641,-1.39479866
0.01818848,-1.13316246
0.01831055,-0.65700733
0.01843262,-0.10068440
0.01855469,0.38982492
0.01867676,0.69831229
0.01879883,0.77073765
0.01892090,0.62951142
0.01904297,0.36568884
0.01916504,0.11134742
0.01928711,0.00002171
0.01940918,0.12645158
0.01953125,0.51710821
0.01965332,1.11993688
0.01977539,1.81634839
0.01989746,2.45222222
0.02001953,2.87932037
0.02014160,2.99555970
0.02026367,2.77288508
0.02038574,2.26494452
0.02050781,1.59241776
0.02062988,0.91010478
0.02075195,0.36498093
0.02087402,0.05693781
0.02099609,0.01314833
0.02111816,0.18314096
0.02124023,0.45582853
0.02136230,0.69355344
0.02148438,0.77342547
0.02160645,0.62418649
0.02172852,0.24811182
0.02185059,-0.27830785
0.02197266,-0.82516102
0.02209473,-1.24556869
0.02221680,-1.41753880
0.02233887,-1.27941151
0.02246094,-0.84885665
0.02258301,-0.21998522
0.02270508,0.46072765
0.02282715,1.03306590
0.02294922,1.36551569
0.02307129,1.38973056
0.02319336,1.11745968
0.02331543,0.63530313
0.02343750,0.07887764
0.02355957,-0.40625456
0.02368164,-0.70584623
0.02380371,-0.76878322
0.02392578,-0.62051933
0.02404785,-0.35439253
0.02416992,-0.10334206
0.02429199,-0.00008715
0.02441406,-0.13709645
0.02453613,-0.53775056
0.02465820,-1.14695784
0.02478027,-1.84400933
0.02490234,-2.47419275
0.02502441,-2.89039158
0.02514648,-2.99306409
0.02526855,-2.75742609
0.02539062,-2.24023137
0.02551270,-1.56425190
0.02563477,-0.88480157
0.02575684,-0.34766781
0.02587891,-0.05020409
0.02600098,-0.01642149
0.02612305,-0.19295980
0.02624512,-0.46693031
0.02636719,-0.70046329
0.02648926,-0.77209534
0.02661133,-0.61321725
0.02673340,-0.22921051
0.02685547,0.30076745
0.02697754,0.84535292
0.02709961,1.25786309
0.02722168,1.41811993
0.02734375,1.26740758
0.02746582,0.82666082
